SubType,Rent,Rooms,Area_m2,Zip,Lat,Lon,Floor,Year_Built,is_renovated,Balcony,Elevator,Parking,View,Fireplace,Child_Friendly,CableTV,New_Building,Minergie,Wheelchair
SINGLE_ROOM,1090.0,1.0,17.0,8152,47.430025894372,8.573211734282,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1290.0,1.0,16.0,8045,47.356889896374,8.519351735282,2.0,1996.0,0,1,1,0,1,0,0,0,0,0,0
SINGLE_ROOM,1190.0,1.0,10.0,8304,47.417704894371,8.596981739287,0.0,1996.0,0,1,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1190.0,1.0,14.0,8047,47.376528896374,8.481681739287,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1680.0,1.0,31.0,8052,47.422220890378,8.546071730289,0.0,1996.0,0,1,1,0,0,0,0,0,0,0,0
FLAT,1315.0,5.0,83.0,8052,47.424399894371,8.535801734281,2.0,1996.0,0,1,0,0,0,0,0,1,0,0,0
FLAT,1230.0,4.0,66.0,8052,47.424220894372,8.535161734283,2.0,1996.0,0,1,0,0,0,0,0,1,0,0,0
FLAT,1230.0,4.0,66.0,8052,47.424324897375,8.537051734287,1.0,1996.0,0,1,0,0,0,0,0,1,0,0,0
FLAT,1760.0,2.5,53.0,8172,47.494346893371,8.495311735284,2.0,1982.0,1,1,0,1,0,0,0,1,0,0,0
FLAT,1635.0,3.5,86.0,8166,47.509524890378,8.376191734283,0.0,1996.0,0,1,1,1,0,0,0,0,0,0,0
FLAT,1683.0,1.5,32.0,8600,47.395535894371,8.616131734285,13.0,2019.0,1,1,1,0,1,0,0,0,0,1,0
FLAT,1800.0,4.0,78.0,8413,47.523924896374,8.655051739281,1.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1350.0,2.0,28.0,8902,47.395174894372,8.421261737286,3.0,1996.0,0,0,0,1,0,0,0,1,0,0,0
FLAT,1550.0,3.5,69.0,8637,47.267454894371,8.919901737288,3.0,1996.0,0,1,0,0,1,0,0,0,0,0,0
FLAT,1999.0,4.5,78.0,8157,47.480804898376,8.459981734284,1.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1950.0,2.5,65.0,8126,47.335004890378,8.622001735288,0.0,1962.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1880.0,2.5,71.0,8246,47.684415896374,8.658891734281,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1050.0,1.0,18.0,8004,47.376178895373,8.529621734287,1.0,1996.0,0,0,0,0,0,0,0,1,0,0,0
FLAT,1790.0,1.0,24.0,8055,47.358824898376,8.497911739284,0.0,1996.0,1,0,1,1,1,0,0,1,0,0,0
FLAT,1230.0,4.0,66.0,8052,47.424220894372,8.535161734283,1.0,1996.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1230.0,4.0,66.0,8052,47.424237890378,8.537591734282,3.0,1996.0,0,1,0,0,0,0,0,1,0,0,0
FLAT,1590.0,3.5,69.0,8400,47.493424897375,8.750571734287,3.0,1996.0,0,1,1,0,1,0,0,1,0,0,0
FLAT,1230.0,4.0,66.0,8052,47.424484898376,8.536021738287,0.0,1996.0,0,1,0,0,0,0,0,1,0,0,0
FLAT,1920.0,1.5,43.0,8050,47.407340890378,8.548311734287,0.0,2015.0,0,0,1,1,0,0,0,1,0,0,0
FLAT,1680.0,2.5,55.0,8600,47.392334899377,8.614371736282,3.0,1996.0,0,1,0,0,0,0,0,1,0,0,0
FLAT,1950.0,4.5,97.0,8162,47.488694898376,8.448101738281,0.0,1992.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1990.0,1.5,44.0,8050,47.411445897375,8.547471737281,0.0,2025.0,0,0,1,1,0,0,0,1,1,0,0
